Type,Date,Latitude,Longitude
Multiple_Gunshots,9/4/2015,38.67,-90.22

Single_Gunshot,9/4/2015,38.68,-90.27

Gunshot_or_firework,9/4/2015,38.66,-90.25

Multiple_Gunshots,9/4/2015,38.68,-90.23

Multiple_Gunshots,9/4/2015,38.68,-90.24

Multiple_Gunshots,9/3/2015,38.67,-90.23

Single_Gunshot,9/3/2015,38.66,-90.26

Multiple_Gunshots,9/3/2015,38.68,-90.24

Single_Gunshot,9/3/2015,38.67,-90.25

Single_Gunshot,9/3/2015,38.67,-90.24

Multiple_Gunshots,9/2/2015,38.68,-90.27

Gunshot_or_firework,9/2/2015,38.67,-90.23

Multiple_Gunshots,9/2/2015,38.68,-90.24

Multiple_Gunshots,9/2/2015,38.67,-90.26

Multiple_Gunshots,9/2/2015,38.66,-90.23

Multiple_Gunshots,9/1/2015,38.66,-90.26

Multiple_Gunshots,9/1/2015,38.67,-90.24

Single_Gunshot,9/1/2015,38.67,-90.24

Single_Gunshot,9/1/2015,38.67,-90.24

Multiple_Gunshots,9/1/2015,38.67,-90.24

Multiple_Gunshots,9/1/2015,38.66,-90.26

Single_Gunshot,8/31/2015,38.67,-90.27

Single_Gunshot,8/31/2015,38.67,-90.27

Single_Gunshot,8/31/2015,38.66,-90.23

Single_Gunshot,8/31/2015,38.66,-90.23

Single_Gunshot,8/31/2015,38.67,-90.27

Single_Gunshot,8/31/2015,38.66,-90.25

Multiple_Gunshots,8/30/2015,38.67,-90.28

Multiple_Gunshots,8/30/2015,38.67,-90.24

Single_Gunshot,8/30/2015,38.67,-90.22

Single_Gunshot,8/30/2015,38.67,-90.22

Single_Gunshot,8/30/2015,38.67,-90.24

Multiple_Gunshots,8/30/2015,38.67,-90.28

Multiple_Gunshots,8/30/2015,38.67,-90.24

Single_Gunshot,8/29/2015,38.67,-90.25

Single_Gunshot,8/29/2015,38.67,-90.24

Single_Gunshot,8/29/2015,38.67,-90.24

Multiple_Gunshots,8/29/2015,38.66,-90.24

